# Karaoke Propio — hand-checked song categories.
#
# The primary source of truth for categorisation, consulted before
# MusicBrainz: every song here was categorised by a person looking at it,
# and an online lookup is only asked about songs this file does not name.
#
# Columns are tab-separated. Artist and title are written the way the
# library stores them; matching folds case, accents, punctuation and a
# leading or trailing article, so "The Beatles" and "Beatles, The" are the
# same song. Several genres are separated by "|". Empty means "not known",
# never "none".
#
# Regenerate with: node scripts/export-category-reference.mjs <database.sqlite3>
# Corrections are welcome as ordinary pull requests against this file.
artist	title	genre	decade	voice	language
Black Sabbath	Iron Man	Metal|Rock	70's	Group	English
Black Sabbath	Paranoid	Metal|Rock	70's	Group	English
Black Sabbath	War Pigs	Metal|Rock	70's	Group	English
Bob Dylan	Knockin' on Heaven's Door	Blues|Folk|Rock	70's	Male	English
Bruce Springsteen	Born in the USA	Folk|Pop|Rock	80's	Male	English
Bruce Springsteen	Born to run	Folk|Pop|Rock	70's	Male	English
Bruce Springsteen	Dancing in the dark	Folk|Pop|Rock	80's	Male	English
Bruce Springsteen	I'm on fire	Folk|Pop|Rock	80's	Male	English
Bruce Springsteen	My Hometown	Folk|Pop|Rock	80's	Male	English
Bruce Springsteen	Thunder Road	Folk|Pop|Rock	70's	Male	English
Bruce Springsteen	Tougher than the rest	Folk|Pop|Rock	80's	Male	English
Bruno Mars	Grenade	Pop|Rock|Soul	2010's	Male	English
Bruno Mars	Marry you	Pop|Rock|Soul	2010's	Male	English
Bruno Mars	lazy song, The	Pop|Rock|Soul	2010's	Male	English
Buggles, The	Video killed the radio star	Rock	70's	Group	English
CNCO	Mamita	Pop	2010's	Group|Male	Spanish
CNCO	Mi Medicina	Pop	2010's	Group|Male	Spanish
CNCO	Para Enamorarte	Pop	2010's	Group|Male	Spanish
CNCO	Reggaetón lento	Pop	2010's	Group|Male	Spanish
Camila	Abrázame	Ballad|Pop	2000's	Group|Male	Spanish
Camila	Al Fin te Econtre	Ballad|Pop	2000's	Group|Male	Spanish
Camila	Aléjate de mi	Ballad|Pop	2000's|2010's	Group|Male	Spanish
Camila	Bésame	Ballad|Pop	2000's|2010's	Group|Male	Spanish
Camila	Coleccionista de Canciones	Ballad|Pop	2010's	Group|Male	Spanish
Camila	De Venus	Ballad|Pop	2000's	Group|Male	Spanish
Camila	De qué me sirve la vida	Pop	2000's	Group|Male	Spanish
Camila	Me Da Igual	Pop	2000's	Group|Male	Spanish
Camila	Mientes	Pop	2000's	Group|Male	Spanish
Camila	Perderte de Nuevo	Pop	2000's	Group|Male	Spanish
Camila	Restos de Abril	Pop	2000's	Group|Male	Spanish
Camila	Sin tu Amor	Ballad|Pop	2000's	Group|Male	Spanish
Camila	Solo para ti	Ballad|Pop	2000's	Group|Male	Spanish
Camila	Todo Cambio	Ballad|Pop	2000's	Group|Male	Spanish
Camilo Sesto	Agua Pasada	Ballad|Pop	2000's|70's	Male	Spanish
Camilo Sesto	Agua de dos ríos	Ballad|Pop	70's	Male	Spanish
Camilo Sesto	Algo de mí	Ballad|Pop	2010's|70's	Male	Spanish
Camilo Sesto	Alguien	Ballad|Pop	70's|90's	Male	Spanish
Camilo Sesto	Amor Libre	Ballad|Pop	70's	Male	Spanish
Camilo Sesto	Amor No Me Ignores	Ballad|Pop	70's	Male	Spanish
Camilo Sesto	Amor mío, ¿qué me has hecho?	Ballad|Pop	2000's|70's	Male	Spanish
Camilo Sesto	Amor... amar	Ballad|Pop	2000's|70's	Male	Spanish
Camilo Sesto	Ayudadme	Ballad|Pop	70's	Male	Spanish
Camilo Sesto	Callados	Ballad|Pop	70's	Male	Spanish
Camilo Sesto	Con el Viento a tu Favor	Ballad	70's	Male	Spanish
Camilo Sesto	Contra el Aire	Ballad	70's	Male	Spanish
Camilo Sesto	Corazón encadenado	Ballad	70's	Male	Spanish
Camilo Sesto	Dónde estés, con quién estés	Ballad	70's	Male	Spanish
Camilo Sesto	En tus Manos	Ballad	70's	Male	Spanish
Camilo Sesto	Entre ella y tú	Ballad	70's	Male	Spanish
Camilo Sesto	Getsemaní	Ballad	70's	Male	Spanish
Camilo Sesto	Jamas	Ballad	70's	Male	Spanish
Camilo Sesto	Melina	Ballad	70's	Male	Spanish
Camilo Sesto	Mientras mi Alma Sienta	Ballad	70's	Male	Spanish
Camilo Sesto	Miénteme	Ballad	70's	Male	Spanish
Camilo Sesto	Nada Ocurrirá	Ballad	70's	Male	Spanish
Camilo Sesto	No Cierres tus Ojos	Ballad	70's	Male	Spanish
Camilo Sesto	No Fue una Noche Cualquiera	Ballad	70's	Male	Spanish
Camilo Sesto	Perdoname	Ballad	70's	Male	Spanish
Camilo Sesto	Piel de angel	Ballad	70's	Male	Spanish
Camilo Sesto	Puente sobre aguas turbulentas	Ballad	70's	Male	Spanish
Camilo Sesto	Quererte a Ti	Ballad	70's	Male	Spanish
Camilo Sesto	Quién	Ballad	70's	Male	Spanish
Camilo Sesto	Quién lo diría	Ballad	70's	Male	Spanish
Camilo Sesto	Quién será	Ballad	70's	Male	Spanish
Camilo Sesto	Qué difícil es ser feliz	Ballad|Pop	70's	Male	Spanish
Camilo Sesto	Qué más te da	Ballad	70's	Male	Spanish
Camilo Sesto	Recuérdame	Ballad|Pop	70's	Male	Spanish
Camilo Sesto	Si tu te Vas	Ballad	70's	Male	Spanish
Camilo Sesto	Sin Remedio	Ballad	70's	Male	Spanish
Camilo Sesto	Solo tu	Ballad	70's	Male	Spanish
Camilo Sesto	Tal para cual	Ballad	70's	Male	Spanish
Camilo Sesto	Tarde o Temprano	Ballad	70's	Male	Spanish
Camilo Sesto	Te Amo	Ballad	70's	Male	Spanish
Camilo Sesto	Terciopelo y Piedra	Ballad	70's	Male	Spanish
Camilo Sesto	Todo por nada	Ballad	70's	Male	Spanish
Camilo Sesto	Tres Veces No	Ballad	70's	Male	Spanish
Camilo Sesto	Un Amor No Muere Asi Como Asi	Ballad|Pop	70's	Male	Spanish
Camilo Sesto	Un Mundo Mejor	Ballad	70's	Male	Spanish
Camilo Sesto	Ven o Voy	Ballad	70's	Male	Spanish
Camilo Sesto	Vivir así es morir de amor	Ballad	70's	Male	Spanish
Camilo Sesto	Vivir sin Ti	Ballad	70's	Male	Spanish
Camilo Sesto	Vístete de Blanco	Ballad	70's	Male	Spanish
Carlos Baute	Colgando en tus Manos	Pop	2000's	Male	Spanish
Carlos Mata	Déjame intentar	Ballad	80's	Male	Spanish
Carlos Mata	Dónde está ese amor	Ballad	80's	Male	Spanish
Carlos Mata	Presiento	Ballad	80's	Male	Spanish
Carlos Mata	Que Porque te Quiero	Ballad	80's	Male	Spanish
Carlos Santana	Black magic woman	Pop|Rock	70's	Male	English
Carlos Santana & Rob Thomas	Smooth	Pop|Rock	90's	Duet	English
Carlos Santana ft. Michelle Branch	game of love, The	Pop|Rock	2000's	Duet	English
Carlos Santana ft. Product	Maria Maria	Pop|Rock	90's	Duet	English
Carlos Vives	Bailar Contigo	Cumbia|Pop|Tropical|Vallenato	2010's	Male	Spanish
Carlos Vives	Beso (Fruta Fresca)	Cumbia|Pop|Tropical|Vallenato	2020's	Male	Spanish
Carlos Vives	Carito	Cumbia|Pop|Tropical|Vallenato	2010's	Male	Spanish
Carlos Vives	Cuando nos volvamos a encontrar	Cumbia|Pop|Tropical|Vallenato	2010's	Male	Spanish
Carlos Vives	Cumbiana	Cumbia|Pop|Tropical|Vallenato	2020's	Male	Spanish
Carlos Vives	Ella es mi fiesta	Cumbia|Pop|Tropical|Vallenato	2010's	Male	Spanish
Carlos Vives	La gota fría	Cumbia|Pop|Tropical|Vallenato	2010's	Male	Spanish
Carlos Vives	Volvi A Nacer	Cumbia|Pop|Tropical|Vallenato	2010's	Male	Spanish
Carlos Vives & Shakira	La Bicicleta	Pop|Vallenato	2010's	Duet|Mixed	Spanish
Carpenters, The	Close To You	Pop|Rock	70's	Group	English
Carpenters, The	I Just Fall In Love Again	Pop|Rock	70's	Group	English
Carpenters, The	I Won't Last A Day Without You	Pop|Rock	70's	Group	English
Chayanne	Atado a tu amor	Pop	90's	Male	Spanish
Chayanne	Cuidarte el Alma	Pop	2000's|90's	Male	Spanish
Chayanne	Fuiste un Trozo de Hielo en la Escarcha	Pop	90's	Male	Spanish
Chayanne	Lo Dejaria Todo	Pop	90's	Male	Spanish
Chayanne	Me Enamore De Ti	Pop	90's	Male	Spanish
Chayanne	Quisiera Ser	Pop	90's	Male	Spanish
Chayanne	Tiempo de Vals	Pop	90's	Male	Spanish
Chayanne	Un Siglo Sin Ti	Pop	90's	Male	Spanish
Chayanne	Y Tú Te Vas	Pop	90's	Male	Spanish
Chayanne	Yo Te Amo	Pop	90's	Male	Spanish
Cher	Believe	Disco|Pop|Rock	90's	Female	English
Cher	If I Could Turn Back Time	Disco|Pop|Rock	80's	Female	English
Chino & Nacho	El Poeta	Pop	2010's	Duet|Male	Spanish
Chino & Nacho	Mi niña bonita	Pop	2010's	Duet|Male	Spanish
Chris Durán	Te perdí	Ballad|Christian	2000's	Male	Spanish
Christian Castro	Nunca voy a olvidarte	Ballad|Pop	90's	Male	Spanish
Christian Domínguez	Mi estrella	Cumbia	2010's	Male	Spanish
Christian Meier	Carreteras mojadas	Pop|Rock	90's	Male	Spanish
Christina Aguilera	Pero Me Acuerdo de ti	Ballad|Pop|Rock|Soul	2000's	Female	Spanish
Christina Aguilera	Reflection	Pop|Rock|Soul	90's	Female	English
Christina Perri	Jar Of Hearts	Pop	2010's	Female	English
Coda	Aun te quiero	Ballad|Electronic|Rock	90's	Group|Male	Spanish
Collective Soul	Shine	Pop|Rock	90's	Group	English
Complices	Es por Ti	Pop|Rock	90's	Group	Spanish
Conchita Velasco	La chica Ye Ye	Pop|Twist	2010's|60's	Female	Spanish
Coti	Nada De Esto Fue Un Error	Pop|Rock	2000's	Male	Spanish
Coti & Julieta Venegas & Paulina Rubio	Nada De Esto Fue Un Error	Pop|Rock	2000's	Duet	Spanish
Cranberries, The	Zombie	Pop|Rock	90's	Group	English
Creedence Clearwater Revival	Have you ever seen the rain	Rock	70's	Group	English
Creedence Clearwater Revival	Long As I Can See The Light	Rock	70's	Group	English
Creedence Clearwater Revival	Up Around The Bend	Rock	70's	Group	English
Creedence Clearwater Revival	Who'll Stop The Rain	Rock	70's	Group	English
Creedence Clearwater Revival	ookin' Out My Back Door	Rock	70's	Group	English
Cristian Castro	Escondidos	Ballad|Pop	2000's|90's	Male	Spanish
Cristian Castro	Lloran las Rosas	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Lo Mejor de mi	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Mañana, mañana	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Mi Vida sin tu Amor	Ballad|Pop	90's	Male	Spanish
Cristian Castro	No puedo arrancarte de mí	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Nunca Voy a Olvidarte	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Por Amarte Asi	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Si Me Ves Llorar por Ti	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Si Tú Me Amaras	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Volver a amar	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Y mañana, mañana	Ballad|Pop	90's	Male	Spanish
Cristian Castro	Yo Queria	Ballad|Pop	90's	Male	Spanish
Crystal	No me pregunten por él	Ballad|Pop	80's	Female	Spanish
Crystal	Suavemente	Ballad|Pop	80's	Female	Spanish
Cure, The	Boys Don't Cry	Pop|Rock	70's	Group	English
Cure, The	Close To Me	Pop|Rock	80's	Group	English
Cure, The	Pictures Of You	Pop|Rock	80's	Group	English
Céline Dion	All By Myself	Pop	90's	Female	English
Céline Dion	Because You Loved Me	Pop	90's	Female	English
Céline Dion	It's All Coming Back To Me Now	Pop	90's	Female	English
Céline Dion	Power of Love, The	Pop	90's	Female	English
César de Guatemala	Mi Plegaria	Ballad	70's	Male	Spanish
DLG	La quiero a morir	Salsa	90's	Group|Male	Spanish
Daddy Yankee	Dura	Reggaeton	2010's	Male	Spanish
